Age,Gender,Height,Weight,Daily Calorie Target,Protein,Carbohydrates,Fat,Breakfast Suggestion,Lunch Suggestion,Dinner Suggestion,Snack Suggestion,Breakfast Category,Activity_Lightly Active,Activity_Moderately Active,Activity_Sedentary,Activity_Very Active,Goal_Maintenance,Goal_Muscle Gain,Goal_Weight Loss,Goal_Weight Maintenance,Diet_Omnivore,Diet_Vegan,Diet_Vegetarian,Breakfast Category Encoded
25.0,1,180.0,80.0,2000,120,250,60,oatmeal with berries and nuts,Grilled chicken salad with mixed greens,Salmon with roasted vegetables,Greek yogurt with fruit,oatmeal-based,False,True,False,False,False,False,True,False,True,False,False,1
32.0,0,165.0,65.0,1600,80,200,40,tofu scramble with veggies,Lentil soup with whole wheat bread,Vegetable stir-fry with brown rice,Apple with almond butter,tofu-based,True,False,False,False,False,False,True,False,False,False,True,4
48.0,1,175.0,95.0,2200,100,300,65,tofu and veggie breakfast burrito,Black bean burger on a whole wheat bun,Lentil and vegetable curry,Trail mix,tofu-based,False,False,True,False,True,False,False,False,False,True,False,4
55.0,0,160.0,70.0,2500,140,350,80,greek yogurt with granola and fruit,Chicken and vegetable stir-fry,Turkey chili with brown rice,Banana with peanut butter,yogurt-based,False,False,False,True,False,False,True,False,True,False,False,5
62.0,1,170.0,85.0,2000,80,250,55,scrambled eggs with whole wheat toast and avocado,Quinoa salad with chickpeas and vegetables,Vegetarian chili with cornbread,Fruit and nut mix,egg-based,False,False,True,False,True,False,False,False,False,False,True,0
68.0,0,155.0,60.0,1800,70,220,45,tofu scramble with veggies,Lentil pasta with vegetables,Vegan stir-fry with brown rice,Hummus and veggie wrap,tofu-based,True,False,False,False,True,False,False,False,False,True,False,4
28.0,1,190.0,100.0,3000,180,350,80,protein pancakes with fruit and nuts,Chicken breast with brown rice and vegetables,Steak with sweet potato and broccoli,Protein shake,pancake-based,False,True,False,False,False,True,False,False,True,False,False,3
35.0,0,170.0,75.0,2400,120,300,60,tofu and veggie breakfast burrito,Black bean burger on a whole wheat bun,Quinoa and vegetable bowl,Cottage cheese with fruit,tofu-based,False,False,False,True,False,True,False,False,False,False,True,4
42.0,1,185.0,110.0,3200,160,400,85,tofu and chickpea scramble,Lentil burger with sweet potato fries,Vegan chili with cornbread,Energy bar,tofu-based,False,True,False,False,False,True,False,False,False,True,False,4
58.0,0,168.0,78.0,1900,75,230,50,overnight oats with fruit and chia seeds,Lentil soup with whole wheat bread,Vegan pasta with vegetables and sauce,Fruit and veggie sticks,oatmeal-based,False,False,True,False,True,False,False,False,False,True,False,1
25.0,1,180.0,80.0,2000,120,250,60,oatmeal with berries and nuts,Grilled chicken salad with mixed greens,Salmon with roasted vegetables,Greek yogurt with fruit,oatmeal-based,True,False,False,False,False,False,True,False,True,False,False,1
32.0,0,165.0,65.0,2200,100,300,70,tofu scramble with vegetables,Lentil soup with wholegrain bread,Chickpea and vegetable curry,Trail mix with nuts and seeds,tofu-based,False,True,False,False,False,True,False,False,False,True,False,4
48.0,1,175.0,95.0,2400,100,350,80,wholegrain toast with avocado,Black bean salad,Vegetable stir-fry with tofu,Fruit salad with yogurt,other,False,False,True,False,True,False,False,False,False,False,True,2
55.0,0,160.0,70.0,1800,100,200,50,greek yogurt with granola,Tuna salad sandwich on wholegrain bread,Chicken breast with steamed vegetables,Popcorn,yogurt-based,False,True,False,False,False,False,True,False,True,False,False,5
62.0,1,170.0,85.0,3000,150,400,100,tofu and vegetable stir-fry,Lentil and vegetable stew,Vegan chili,Smoothie with protein powder,tofu-based,False,False,False,True,False,True,False,False,False,True,False,4
28.0,0,172.0,60.0,2000,100,250,60,tofu scramble with vegetables,Black bean burger on a wholegrain bun,Lentil pasta with vegetables,Trail mix with nuts and seeds,tofu-based,True,False,False,False,False,True,False,False,False,True,False,4
35.0,1,185.0,90.0,2500,150,300,80,oatmeal with protein powder and fruit,Grilled chicken breast with brown rice,Salmon with roasted vegetables,Fruit and nuts,oatmeal-based,False,False,False,True,False,False,True,False,True,False,False,1
40.0,0,168.0,75.0,2200,100,300,70,wholegrain toast with avocado,Lentil soup with wholegrain bread,Vegetable stir-fry with tofu,Fruit salad with yogurt,other,False,True,False,False,True,False,False,False,False,False,True,2
22.0,1,190.0,100.0,2800,160,350,90,eggs with wholegrain toast,Chicken breast with brown rice,Steak with roasted vegetables,Protein bar,egg-based,True,False,False,False,False,True,False,False,True,False,False,0
58.0,0,155.0,68.0,1600,80,180,40,tofu scramble with vegetables,Lentil soup with wholegrain bread,Vegan chili,Fruit and nut mix,tofu-based,False,False,True,False,False,False,True,False,False,True,False,4
24.0,0,165.0,55.0,1800,100,250,50,greek yogurt with berries and granola,Salmon salad with mixed greens and avocado,Chicken stir-fry with brown rice,Apple with peanut butter,yogurt-based,True,False,False,False,False,False,True,False,True,False,False,5
38.0,1,180.0,80.0,2800,160,350,80,oatmeal with protein powder and fruit,Chicken breast with sweet potato and broccoli,Steak with roasted vegetables,Protein shake,oatmeal-based,False,True,False,False,False,True,False,False,True,False,False,1
55.0,0,160.0,70.0,1600,80,200,40,tofu scramble with vegetables,Lentil soup with whole wheat bread,Vegetarian chili with brown rice,Trail mix with nuts and dried fruit,tofu-based,False,False,True,False,False,False,True,False,False,False,True,4
62.0,1,175.0,95.0,2200,120,280,60,eggs with whole wheat toast and avocado,Turkey sandwich on whole wheat bread with vegetables,Chicken and vegetable stir-fry with brown rice,Greek yogurt with fruit and granola,egg-based,False,True,False,False,False,False,True,False,True,False,False,0
28.0,0,170.0,65.0,2400,140,320,70,tofu scramble with vegetables and avocado,Vegan lentil stew with whole wheat bread,Tofu stir-fry with brown rice and vegetables,Banana with almond butter,tofu-based,False,False,False,True,False,True,False,False,False,True,False,4
45.0,1,185.0,100.0,2000,110,250,50,greek yogurt with fruit and granola,Tuna salad with whole wheat bread,Chicken breast with sweet potato and green beans,Mixed nuts and seeds,yogurt-based,True,False,False,False,False,False,True,False,True,False,False,5
68.0,0,155.0,60.0,1400,70,180,35,tofu scramble with vegetables,Lentil soup with whole wheat bread,Vegan pasta with vegetables and tomato sauce,Apple with peanut butter,tofu-based,False,False,True,False,True,False,False,False,False,True,False,4
32.0,1,190.0,90.0,3000,180,400,90,oatmeal with protein powder and fruit,Chicken breast with sweet potato and broccoli,Steak with roasted vegetables,Protein shake,oatmeal-based,False,False,False,True,False,True,False,False,True,False,False,1
58.0,1,170.0,85.0,1900,100,240,50,eggs with whole wheat toast and avocado,Lentil soup with whole wheat bread,Vegetarian chili with brown rice,Trail mix with nuts and dried fruit,egg-based,False,True,False,False,False,False,True,False,False,False,True,0
22.0,0,160.0,50.0,1500,80,200,40,tofu scramble with vegetables,Vegan lentil stew with whole wheat bread,Tofu stir-fry with brown rice and vegetables,Banana with almond butter,tofu-based,True,False,False,False,False,False,True,False,False,True,False,4
25.0,0,165.0,60.0,1800,80,200,60,greek yogurt with berries and granola,Lentil soup with whole wheat bread,Salmon with roasted vegetables,Apple slices with peanut butter,yogurt-based,True,False,False,False,False,False,True,False,True,False,False,5
38.0,1,180.0,85.0,2800,150,250,80,tofu scramble with spinach and avocado,Quinoa salad with chickpeas and vegetables,Black bean burgers with sweet potato fries,Mixed nuts and seeds,tofu-based,False,True,False,False,False,True,False,False,False,False,True,4
55.0,0,160.0,65.0,1600,65,180,50,overnight oats with fruit and chia seeds,Lentil and vegetable curry with brown rice,Tofu stir-fry with brown rice noodles,Fruit smoothie,oatmeal-based,False,False,True,False,True,False,False,False,False,True,False,1
42.0,1,190.0,95.0,3200,200,300,100,scrambled eggs with whole wheat toast and fruit,Chicken breast with brown rice and vegetables,Steak with sweet potato and asparagus,Protein shake,egg-based,False,False,False,True,False,True,False,False,True,False,False,0
62.0,0,155.0,58.0,1400,55,150,40,oatmeal with berries and plant-based milk,Lentil soup with whole wheat bread,Vegetable stir-fry with tofu and brown rice,Apple slices with almond butter,oatmeal-based,False,False,True,False,False,False,True,False,False,True,False,1
28.0,1,175.0,70.0,2500,130,220,70,greek yogurt with fruit and granola,Tuna salad sandwich on whole wheat bread,Chicken breast with brown rice and vegetables,Trail mix,yogurt-based,False,True,False,False,False,True,False,False,True,False,False,5
31.0,0,170.0,75.0,1700,70,190,50,scrambled eggs with whole wheat toast and avocado,Vegetarian chili with whole wheat bread,Black bean burgers with salad,Apple slices with almond butter,egg-based,True,False,False,False,False,False,True,False,False,False,True,0
58.0,1,185.0,90.0,2400,100,240,70,oatmeal with fruit and nuts,Chicken salad sandwich on whole wheat bread,Salmon with roasted vegetables,Fruit and cheese,oatmeal-based,False,True,False,False,True,False,False,False,True,False,False,1
22.0,0,168.0,55.0,2200,110,200,60,overnight oats with fruit and chia seeds,Tofu scramble with spinach and avocado,Lentil and vegetable curry with brown rice,Protein shake,oatmeal-based,False,False,False,True,False,True,False,False,False,True,False,1
