Diet_Label,Diet_String_English,Diet_String_Persian
0,"Vegetables: (Broccoli, Carrots, Spinach, Lettuce, Onion); Protein Intake: (Cheese, Cattoge cheese, Skim Milk, Law fat Milk, and Baru Nuts); Juice: (Fruit Juice, Aloe vera juice, Cold-pressed juice, and Watermelon juice)",سبزیجات: (بروکلی، هویج، اسفناج، کاهو، پیاز); پروتئین: (پنیر، پنیر کاتیج، شیر بدون چربی، شیر کم‌چرب، آجیل بارو); آبمیوه: (آبمیوه، آب آلوئه‌ورا، آبمیوه سردفشرده، آب هندوانه)
1,"Vegetables: (Carrots, Sweet Potato, Lettuce); Protein Intake: (Red meats, poultry, fish, eggs, dairy products, legumes, and nuts); Juice: (Fruit juice, watermelon juice, carrot juice, apple juice and mango juice)",سبزیجات: (هویج، سیب‌زمینی شیرین، کاهو); پروتئین: (گوشت قرمز، ماکیان، ماهی، تخم‌مرغ، محصولات لبنی، حبوبات، آجیل); آبمیوه: (آبمیوه، آب هندوانه، آب هویج، آب سیب، آب انبه)
2,"Vegetables: (Carrots, Sweet Potato, and Lettuce); Protein Intake: (Red meats, poultry, fish, eggs, dairy products, legumes, and nuts); Juice: (Fruit juice, watermelon juice, carrot juice, apple juice and mango juice)",سبزیجات: (هویج، سیب‌زمینی شیرین، کاهو); پروتئین: (گوشت قرمز، ماکیان، ماهی، تخم‌مرغ، محصولات لبنی، حبوبات، آجیل); آبمیوه: (آبمیوه، آب هندوانه، آب هویج، آب سیب، آب انبه)
3,"Vegetables: (Garlic, Mushroom, Green Papper, Icebetg Lettuce); Protein Intake: (Baru Nuts, Beech Nuts, Hemp Seeds, Cheese Spandwich); Juice: (Apple Juice, Mango juice, and Beetroot juice)",سبزیجات: (سیر، قارچ، فلفل سبز، کاهوی آیسبرگ); پروتئین: (آجیل بارو، آجیل راش، دانه کنف، ساندویچ پنیر); آبمیوه: (آب سیب، آب انبه، آب چغندر)
4,"Vegetables: (Garlic, Mushroom, Green Papper, Icebetg Lettuce); Protein Intake: (Baru Nuts, Beech Nuts, Hemp Seeds, Cheese Spandwich); Juice: (Apple Juice, Mango juice,and Beetroot juice)",سبزیجات: (سیر، قارچ، فلفل سبز، کاهوی آیسبرگ); پروتئین: (آجیل بارو، آجیل راش، دانه کنف، ساندویچ پنیر); آبمیوه: (آب سیب، آب انبه، آب چغندر)
5,"Vegetables: (Garlic, Roma Tomatoes, Capers and Iceberg Lettuce); Protein Intake: (Cheese Standwish, Baru Nuts, Beech Nuts, Squash Seeds, and Mixed Teff); Juice: (Apple juice, beetroot juice and mango juice)",سبزیجات: (سیر، گوجه‌فرنگی روما، کبر، کاهوی آیسبرگ); پروتئین: (ساندویچ پنیر، آجیل بارو، آجیل راش، دانه کدو، تف مخلوط); آبمیوه: (آب سیب، آب چغندر، آب انبه)
6,"Vegetables: (Garlic, Roma Tomatoes, Capers, Green Papper, and Iceberg Lettuce); Protein Intake: (Cheese Sandwich, Baru Nuts, Beech Nuts, Squash Seeds, Mixed Teff, peanut butter, and jelly sandwich); Juice: (Apple juice, beetroot juice, and mango juice)",سبزیجات: (سیر، گوجه‌فرنگی روما، کبر، فلفل سبز، کاهوی آیسبرگ); پروتئین: (ساندویچ پنیر، آجیل بارو، آجیل راش، دانه کدو، تف مخلوط، کره بادام‌زمینی، ساندویچ ژله); آبمیوه: (آب سیب، آب چغندر، آب انبه)
7,"Vegetables: (Garlic, mushroon, green papper and water chestnut);Protein Intake: ( Baru Nuts, Beech Nuts, and black walnut); Juice : (Apple juice, Mango, and Beetroot Juice)",سبزیجات: (سیر، قارچ، فلفل سبز، شاه‌بلوط آبی); پروتئین: (آجیل بارو، آجیل راش، گردوی سیاه); آبمیوه: (آب سیب، آب انبه، آب چغندر)
8,"Vegetables: (Garlic, mushroon, green papper);Protein Intake: ( Baru Nuts, Beech Nuts, and Hemp Seeds); Juice : (Apple juice, Mango, and Beetroot Juice)",سبزیجات: (سیر، قارچ، فلفل سبز); پروتئین: (آجیل بارو، آجیل راش، دانه کنف); آبمیوه: (آب سیب، آب انبه، آب چغندر)
9,"Vegetables: (Mixed greens, cherry tomatoes, cucumbers, bell peppers, carrots, celery, bell peppers);Protein Intake: (Chicken, fish, tofu, or legumes); Juice : (Green juice,kale, spinach, cucumber, celery, and apple)",سبزیجات: (سبزیجات مخلوط، گوجه‌فرنگی گیلاسی، خیار، فلفل دلمه‌ای، هویج، کرفس، فلفل دلمه‌ای); پروتئین: (مرغ، ماهی، توفو، حبوبات); آبمیوه: (آب سبز، کلم کیل، اسفناج، خیار، کرفس، سیب)
10,"Vegetables: (Tomatoes, Garlic, leafy greens, broccoli, carrots, and bell peppers); Protein Intake: (poultry, fish, tofu, legumes, and low-fat dairy products); Juice: (Apple juice, beetroot juice and mango juice)",سبزیجات: (گوجه‌فرنگی، سیر، سبزیجات برگی، بروکلی، هویج، فلفل دلمه‌ای); پروتئین: (ماکیان، ماهی، توفو، حبوبات، محصولات لبنی کم‌چرب); آبمیوه: (آب سیب، آب چغندر، آب انبه)
