Diet_Label,Diet_String_English,Diet_String_Persian
0,"vegetables: (broccoli,carrots,spinach,lettuce,onion);  protein intake: (cheese,cottage cheese,skim milk,low fat milk,,baru nuts);  juice: (fruit juice,aloe vera juice,cold-pressed juice,,watermelon juice)",ترجمه نشده
1,"vegetables: (carrots,sweet potato,,lettuce);  protein intake: (red meats,poultry,fish,eggs,dairy products,legumes,,nuts);  juice: (fruit juice,watermelon juice,carrot juice,apple juice,mango juice)",ترجمه نشده
2,"vegetables: (carrots,sweet potato,lettuce);  protein intake: (red meats,poultry,fish,eggs,dairy products,legumes,,nuts);  juice: (fruit juice,watermelon juice,carrot juice,apple juice,mango juice)",ترجمه نشده
3,"vegetables: (garlic,mushroom,green pepper); protein intake: ( baru nuts,beech nuts,,hemp seeds);  juice : (apple juice,mango,,beetroot juice)",ترجمه نشده
4,"vegetables: (garlic,mushroom,green pepper,iceberg lettuce);  protein intake: (baru nuts,beech nuts,hemp seeds,cheese sandwich);  juice: (apple juice,mango juice,and beetroot juice)",ترجمه نشده
5,"vegetables: (garlic,mushroom,green pepper,iceberg lettuce); protein intake: (baru nuts,beech nuts,hemp seeds,cheese sandwich); juice: (apple juice,mango juice,beetroot juice)",سبزیجات: (سیر،قارچ،فلفل سبز،کاهوی آیسبرگ); پروتئین: (آجیل بارو،آجیل راش،دانه کنف،ساندویچ پنیر); آبمیوه: (آب سیب،آب انبه،آب چغندر)
6,"vegetables: (garlic,mushroom,green pepper,water chestnut); protein intake: ( baru nuts,beech nuts,,black walnut);  juice : (apple juice,mango,,beetroot juice)",ترجمه نشده
7,"vegetables: (garlic,roma tomatoes,capers,green pepper,,iceberg lettuce);  protein intake: (cheese sandwich,baru nuts,beech nuts,squash seeds,mixed teff,peanut butter,,jelly sandwich);  juice: (apple juice,beetroot juice,,mango juice)",ترجمه نشده
8,"vegetables: (garlic,roma tomatoes,capers,iceberg lettuce);  protein intake: (cheese sandwich,baru nuts,beech nuts,squash seeds,,mixed teff);  juice: (apple juice,beetroot juice,mango juice)",ترجمه نشده
9,"vegetables: (mixed greens,cherry tomatoes,cucumbers,bell peppers,carrots,celery,bell peppers); protein intake: (chicken,fish,tofu,or legumes);  juice : (green juice,kale,spinach,cucumber,celery,,apple)",ترجمه نشده
10,"vegetables: (tomatoes,garlic,leafy greens,broccoli,carrots,,bell peppers);  protein intake: (poultry,fish,tofu,legumes,,low-fat dairy products);  juice: (apple juice,beetroot juice,mango juice)",ترجمه نشده
